N_Value,"mainOpenMPTest.cpp (A=1, I=2)","mainOpenMP.cpp (A=1, I=2)","mainOpenMPTest.cpp (A=2, I=4)","mainOpenMP.cpp (A=2, I=4)"
1,0.001122,4.615225,0.001194,7.631750
2,0.003994,0.001750,0.007956,0.003322
3,0.013510,0.002471,0.027301,0.010058
4,0.034132,0.004646,0.067664,0.017620
5,0.064841,0.010871,0.163134,0.046987
6,0.157944,0.023949,0.306236,0.072294
7,0.233252,0.033079,0.603042,0.277376
8,0.262997,0.034310,0.681642,0.208811
9,1.159150,0.191649,1.929530,0.556718
10,1.129186,0.188585,2.072739,0.584803
11,1.984792,0.398827,2.575178,0.942044
12,1.159677,0.182704,3.330649,1.061026
13,2.385860,0.457515,4.296610,1.402620
14,2.844969,0.479250,4.262990,1.569567
15,1.827710,0.408415,5.573783,1.898690
16,2.610968,0.522425,6.110430,2.184407
17,2.923015,0.592896,13.712200,4.162050
18,4.306016,0.987166,8.266100,3.021329
19,4.441772,1.025428,8.690770,3.715677
20,5.935465,1.847507,11.335025,4.056043
21,4.528234,1.363474,16.494220,6.544026
