N_Value,"main.cpp (A=1, I=2)","mainOpenMPTest.cpp (A=1, I=2)","mainOpenMP.cpp (A=1, I=2)","main.cpp (A=2, I=4)","mainOpenMPTest.cpp (A=2, I=4)","mainOpenMP.cpp (A=2, I=4)","main.cpp (A=5, I=10)","mainOpenMPTest.cpp (A=5, I=10)","mainOpenMP.cpp (A=5, I=10)","main.cpp (A=10, I=20)","mainOpenMPTest.cpp (A=10, I=20)","mainOpenMP.cpp (A=10, I=20)"
1,1.871775,0.000587,1.895900,3.169250,0.000460,2.839600,6.550800,0.000606,6.455250,0.000136,0.001009,0.000123
2,0.001385,0.001940,0.000698,0.005940,0.003696,0.001120,0.028334,0.010459,0.005365,0.107892,0.020255,0.018614
3,0.005037,0.005449,0.001189,0.020819,0.011706,0.003324,0.115366,0.035637,0.016520,0.456490,0.074459,0.084107
4,0.014048,0.013119,0.002079,0.048387,0.026624,0.006457,0.302489,0.089417,0.040804,1.207810,0.192682,0.188213
5,0.030967,0.028573,0.004838,0.145505,0.079633,0.020843,0.814426,0.217850,0.125999,3.375060,0.635094,0.672564
6,0.082893,0.079866,0.010776,0.266258,0.152136,0.034088,1.437725,0.424988,0.235783,5.528200,1.097125,1.093775
7,0.117833,0.113536,0.015071,0.458866,0.302887,0.061295,2.599170,0.860685,0.441622,9.299528,2.039545,1.835140
8,0.140865,0.133842,0.018388,0.590437,0.349881,0.089217,4.208047,1.427519,0.782397,16.498386,3.655001,3.384300
9,0.616159,0.597149,0.080313,1.696160,0.990077,0.341399,6.140650,2.129590,1.206530,23.202000,5.184690,4.801190
10,0.597329,0.574824,0.082710,1.725088,1.064617,0.256796,9.236811,3.288401,1.799340,32.034480,7.655392,6.650564
11,1.050559,1.011607,0.158016,2.313843,1.320867,0.412270,11.253011,3.969971,2.229853,43.872267,10.771567,8.993457
12,0.619549,0.593174,0.085163,2.836361,1.713489,0.506819,16.361900,5.544640,3.209300,54.923629,12.294843,11.297729
13,1.251725,1.203002,0.195646,3.592195,2.217130,0.637525,19.692675,7.057820,4.034368,72.183400,18.206525,14.999025
14,1.544170,1.461154,0.252629,4.163305,2.194854,0.752424,26.187591,8.556820,5.312494,84.458318,20.380655,18.239618
15,0.981094,0.926710,0.138112,4.328253,2.849283,0.806010,27.792067,10.195533,5.756607,94.477200,23.276200,21.622733
16,1.412718,1.329343,0.215252,5.189118,3.123160,1.000277,32.033250,11.300500,6.687025,118.456500,28.762025,28.459325
17,1.567000,1.473435,0.248616,10.027420,6.964120,2.175310,39.617550,15.678950,8.099580,140.697500,36.404050,36.622450
18,2.287873,2.182667,0.382442,6.635176,4.210250,1.275907,38.755700,14.144529,8.177890,155.598286,38.059671,40.493029
19,2.355270,2.244935,0.384582,7.893425,4.420793,1.505515,46.313100,17.968100,9.426807,186.910500,44.814325,49.703125
20,3.067697,2.927707,0.497063,9.471768,5.764370,1.824280,49.187675,17.272800,10.343225,213.818000,56.493475,57.103075
21,2.378894,2.274100,0.375958,12.335940,8.345078,2.429258,58.806460,21.386720,12.102420,229.073800,58.187900,61.243320
