N_Value,"main.cpp (A=1, I=2)","mainMPI.cpp (A=1, I=2)","MPI_OpenMP.cpp (A=1, I=2)","mainOpenMPTest.cpp (A=1, I=2)","mainOpenMP.cpp (A=1, I=2)","main.cpp (A=2, I=4)","mainMPI.cpp (A=2, I=4)","MPI_OpenMP.cpp (A=2, I=4)","mainOpenMPTest.cpp (A=2, I=4)","mainOpenMP.cpp (A=2, I=4)","main.cpp (A=5, I=10)","mainMPI.cpp (A=5, I=10)","MPI_OpenMP.cpp (A=5, I=10)","mainOpenMPTest.cpp (A=5, I=10)","mainOpenMP.cpp (A=5, I=10)","main.cpp (A=10, I=20)","mainMPI.cpp (A=10, I=20)","MPI_OpenMP.cpp (A=10, I=20)","mainOpenMPTest.cpp (A=10, I=20)","mainOpenMP.cpp (A=10, I=20)"
1,2.489425,1.889400,1.637025,0.000627,1.675450,3.096925,2.355800,3.343000,0.000727,2.917450,6.996550,4.589541,7.129950,0.001104,6.437450,0.000128,4.930728,0.000131,0.001034,0.000134
2,0.001548,0.001176,0.001134,0.001691,0.000636,0.005330,0.002504,0.003482,0.003529,0.001126,0.028976,0.011522,0.021041,0.009606,0.005861,0.113947,0.035185,0.082481,0.019161,0.024778
3,0.007290,0.004808,0.003005,0.005940,0.001078,0.019226,0.009877,0.013545,0.011917,0.002911,0.116057,0.051658,0.086391,0.030227,0.020147,0.467296,0.152867,0.340763,0.080631,0.068241
4,0.013475,0.012716,0.006978,0.014084,0.002127,0.050672,0.026925,0.030040,0.027405,0.007046,0.306114,0.134379,0.193281,0.076793,0.041494,1.218330,0.408901,0.796434,0.199514,0.191176
5,0.032393,0.032253,0.018801,0.031032,0.004836,0.148385,0.090017,0.099310,0.084347,0.020682,0.835904,0.366560,0.577140,0.230305,0.146763,3.494917,1.339253,2.261403,0.666021,0.552741
6,0.089609,0.090186,0.053564,0.086646,0.011138,0.274564,0.178480,0.170747,0.163440,0.036225,1.479990,0.659111,0.960579,0.451591,0.211864,5.657800,2.230320,3.821395,1.215745,1.075290
7,0.138147,0.128747,0.070834,0.117883,0.015235,0.470187,0.356324,0.304966,0.315075,0.065784,2.655075,1.371378,1.792500,0.905427,0.411463,9.530987,3.984960,6.284920,2.135442,2.188327
8,0.174680,0.150055,0.088606,0.139248,0.019757,0.596479,0.408744,0.394364,0.358057,0.082563,4.250674,2.160666,2.794983,1.510637,0.751017,16.584600,6.925183,11.403671,4.279923,4.167561
9,0.662865,0.686852,0.416122,0.602816,0.083749,1.684270,1.170020,1.075820,1.005230,0.238094,6.307220,3.613030,4.036520,2.228210,0.919072,23.278900,10.265800,16.433100,6.078140,5.962820
10,0.633545,0.672777,0.384155,0.579653,0.079720,1.728495,1.241610,1.132096,1.075698,0.255952,9.275341,4.885400,6.123133,3.465206,1.884357,32.255350,13.933290,24.604100,8.687077,8.109984
11,1.078758,1.173834,0.693646,1.014493,0.148157,2.314888,1.558784,1.505993,1.336261,0.362158,11.297600,5.927182,7.484364,4.159794,2.391558,44.010556,19.048222,35.926456,12.024289,11.626722
12,0.645536,0.680296,0.402238,0.592564,0.080674,2.822937,1.993816,1.867380,1.728917,0.502815,16.398414,7.337943,11.389386,5.769064,3.930137,54.880400,21.563129,46.638814,14.089914,14.282329
13,1.268575,1.371223,0.868057,1.196520,0.179919,3.576218,2.566120,2.395880,2.268295,0.616566,19.605200,9.541923,13.944650,7.269247,4.807720,71.931875,31.231925,63.421525,20.144950,18.649050
14,1.527572,1.675650,0.991019,1.446710,0.215110,4.160742,2.548494,2.713079,2.245243,0.691538,26.118290,12.798860,19.390440,8.874260,6.551359,84.121320,37.150670,72.185290,22.720320,21.929020
